Timestamp,Your name,Roll Number,Your school name,Your class,What was your last year overall percentage or CGPA?,How much time do you spend every day on your self study and homework?,Which is your least favourite or toughest subject?,Subject group,Choose Subject Where The Subject Teacher Rating is [Excellent],Choose Subject Where The Subject Teacher Rating is [Very Good],Choose Subject Where The Subject Teacher Rating is [Good],Choose Subject Where The Subject Teacher Rating is [Average],Choose Subject Where The Subject Teacher Rating is [Poor],Do teachers provide enough support for your academic learning and solving queries?,How do you meet your academic learning goal?,How well do teachers give real-world applications or examples in class?,Does your faculty encourage you to ask questions and create an interactive classroom?,Please add your suggestions or concern related to any teacher.,Does your school have sufficient availability of computer or science labs and libraries that enhance your learning experience?,"Are there sufficient resources for extracurricular activities like music, sports, yoga, dancing, art & crafts?","Does your school conduct events that encourage creativity, innovation, and leadership?",How satisfied are you with the transportation facilities provided by school?,Does your school provide career guidance and academic counselling?,Please share any suggestions or concerns about your school facilities.,How well does your school resolve issues of bullying and harassment?,School behaviour towards challenges like late fees or fee concessions?,Do you feel that there is a fair and transparent exam results and paper checking?,Does your school handle academic stress and wellness issues?,Do you think your school adequately prepared you for competitive exams?,How satisfied are you with the overall quality of teaching at the school?,How would you recommend this school to your friends?,Please share any suggestions or concerns about your school.
04/09/2025 05:49:08,Rohit Tripathi,100001,JNV VARANASI,8 th,5,More than 4 Hrs,Physics,Commerce,"IT/CS, Physics","Other, Social Science","Hindi, Science","Other, Science",Other,Strongly agree,Coaching from outside faculty,Poor,Neutral,"The accountancy teacher is good at explaining numerical problems, but rushes through theoretical concepts. Many students including me struggle with the theory portion in exams. It would help if equal time was given to both theory and practical numerical problems during class.",Disagree,Very sufficient,Strongly agree,Very satisfied,Strongly agree,Improve transport,Very well,Negative,Neutral,Poorly,Neutral,Extremely dissatisfied,3,More field trips
10/09/2025 12:50:08,Ayush Srivastava,100002,JNV VARANASI,12th,5,2-3 Hrs,Biology,Not Applicable,"IT/CS, Social Science","Accountancy, Hindi","Physics, Other","Hindi, Economics",Business Studies,Strongly agree,Coaching from outside faculty,Very poor,Disagree,Want more doubt sessions,Disagree,Neutral,Strongly disagree,Very satisfied,Strongly disagree,No concerns,Adequately,Strongly positive,Neutral,Well,Agree,Highly satisfied,2,Better career guidance
21/10/2025 09:58:08,Abhishek Bansal,100003,JNV VARANASI,11th,6,3-4 Hrs,Chemistry,Maths,"Science, Physics","Other, Chemistry","IT/CS, Economics","Accountancy, Physics",Maths,Strongly disagree,Internet materials,Good,Strongly agree,Need more examples,Strongly disagree,Sufficient,Disagree,Very satisfied,Neutral,More activities needed,Very poorly,Negative,Strongly disagree,Very poorly,Disagree,Not satisfied,2,No suggestions
27/09/2025 11:16:08,Nisha Kumar,100004,JNV VARANASI,8 th,8,2-3 Hrs,Chemistry,Maths,"Biology, Social Science","Other, Social Science","Biology, IT/CS","Social Science, IT/CS",Chemistry,Disagree,Coaching from existing faculty,Good,Strongly disagree,Need more examples,Disagree,Sufficient,Strongly disagree,Satisfied,Disagree,Improve library,Very poorly,Strongly negative,Strongly agree,Very poorly,Neutral,Highly satisfied,3,Improve teaching
10/07/2025 11:58:08,Priya Yadav,100005,JNV VARANASI,6 th,9,3-4 Hrs,IT/CS,IT/CS,"Hindi, Business Studies","English, Maths","Science, Other","Hindi, English",Chemistry,Agree,Reference or side books,Very poor,Agree,Teachers are helpful,Disagree,Very insufficient,Neutral,Very dissatisfied,Disagree,"I believe our school has excellent academic standards, but there is too much pressure on students to perform well in exams. The focus on marks over actual learning creates stress and anxiety among many students including myself. I think the school should promote a more balanced approach to education that values understanding over memorization.",Adequately,Strongly positive,Disagree,Very well,Strongly agree,Not satisfied,2,"The school should introduce mental health awareness programs and have a full-time counselor available for students. Academic pressure, family issues, and social problems affect many students but there is no proper support system. Regular sessions on stress management and emotional well-being would help everyone."
27/01/2026 18:08:08,Suresh Kapoor,100006,JNV VARANASI,7 th,7,3-4 Hrs,Social Science,Commerce,"Chemistry, Hindi","IT/CS, Other","Economics, Hindi","Other, Accountancy",Physics,Neutral,Internet materials,Excellent,Strongly agree,Classes are too fast,Disagree,Neutral,Agree,Very satisfied,Strongly agree,"I believe our school has excellent academic standards, but there is too much pressure on students to perform well in exams. The focus on marks over actual learning creates stress and anxiety among many students including myself. I think the school should promote a more balanced approach to education that values understanding over memorization.",Well,Strongly positive,Strongly disagree,Well,Strongly agree,Satisfied,5,Everything good
03/01/2025 00:47:08,Shivam Kapoor,100007,JNV VARANASI,12th,5,3-4 Hrs,Social Science,Biology,"Biology, IT/CS","English, Other","Hindi, Maths","Chemistry, Physics",English,Agree,School only,Poor,Strongly agree,Need more explanation,Agree,Neutral,Strongly agree,Neutral,Strongly disagree,Better canteen food needed,Very well,Negative,Agree,Adequately,Neutral,Satisfied,4,"I strongly suggest that our school should introduce more vocational training and skill development courses alongside regular academics. Subjects like basic coding, financial literacy, communication skills, and practical life skills would prepare us better for the real world. Many students don't want to pursue traditional academic paths and need alternative options."
31/01/2025 04:37:08,Riya Mishra,100008,JNV VARANASI,8 th,10,2-3 Hrs,Other,Commerce,"English, Physics","English, Physics","IT/CS, English","Biology, Economics",Economics,Neutral,School only,Excellent,Strongly agree,Want more doubt sessions,Disagree,Sufficient,Neutral,Satisfied,Strongly agree,Better canteen food needed,Very poorly,Negative,Disagree,Well,Strongly agree,Not satisfied,2,No suggestions
24/07/2025 04:13:08,Vivek Sharma,100009,JNV VARANASI,8 th,9,More than 4 Hrs,Social Science,Not Applicable,"Business Studies, Maths","Social Science, IT/CS","Social Science, Biology","Social Science, Maths",Social Science,Strongly disagree,Coaching from outside faculty,Good,Agree,Better revision needed,Strongly agree,Neutral,Strongly agree,Satisfied,Strongly disagree,Better canteen food needed,Poorly,Strongly negative,Agree,Adequately,Neutral,Highly satisfied,3,More field trips
04/05/2025 23:23:08,Rahul Bansal,100010,JNV VARANASI,6 th,5,3-4 Hrs,English,IT/CS,"English, Hindi","Maths, Biology","IT/CS, Economics","Physics, Accountancy",IT/CS,Strongly agree,Reference or side books,Excellent,Strongly agree,"Our computer science teacher is very patient and explains programming concepts clearly. However, we have very limited computer access and have to share systems during practicals. This makes it difficult to practice coding properly. I hope the school can provide more computers for the lab.",Strongly disagree,Very insufficient,Neutral,Very dissatisfied,Neutral,More activities needed,Well,Neutral,Disagree,Very well,Disagree,Satisfied,5,"I strongly suggest that our school should introduce more vocational training and skill development courses alongside regular academics. Subjects like basic coding, financial literacy, communication skills, and practical life skills would prepare us better for the real world. Many students don't want to pursue traditional academic paths and need alternative options."
